ปี,พิกัด8,ปริมาณ_export,ปริมาณ_import,มูลค่าบาท_export,มูลค่าบาท_import,ชนิด,คำอธิบายทางการ,ส่วนต่างมูลค่า,ส่วนต่างปริมาณ,ratio_ส่งออกต่อนำเข้า,ผ่าน_GATE,อุปสงค์ในประเทศ_บาท
2565,88069900,54.0,592.0,4128100.0,443414288.0,ไม่ใช่รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,439286188.0,538.0,0.009309803747235137,True,439286188.0
2565,88062900,0.0,9964.0,0.0,348126526.0,รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,348126526.0,9964.0,0.0,True,348126526.0
2565,88062400,36.0,986.0,13347012.0,162633663.0,รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,149286651.0,950.0,0.08206795416026509,True,149286651.0
2565,88069400,110.0,1464.0,15906374.0,150885926.0,ไม่ใช่รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,134979552.0,1354.0,0.10541986533588295,True,134979552.0
2565,88062100,3.0,7693.0,106071.0,141607396.0,รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,141501325.0,7690.0,0.0007490498589494577,True,141501325.0
2565,88062200,0.0,2631.0,0.0,121010422.0,รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,121010422.0,2631.0,0.0,True,121010422.0
2565,88069300,1.0,22.0,45519.0,9646265.0,ไม่ใช่รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,9600746.0,21.0,0.004718821222514621,True,9600746.0
2565,88062300,1.0,69.0,102506.0,9099712.0,รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,8997206.0,68.0,0.011264752115231778,True,8997206.0
2565,88069200,0.0,6.0,0.0,677410.0,ไม่ใช่รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,677410.0,6.0,0.0,True,677410.0
2565,88069100,0.0,75.0,0.0,558473.0,ไม่ใช่รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,558473.0,75.0,0.0,True,558473.0
2566,88062200,16160.0,18343.0,1382175144.0,1412968941.0,รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,30793797.0,2183.0,0.9782063171337607,False,
2566,88069400,51.0,3003.0,32858010.0,409731281.0,ไม่ใช่รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,376873271.0,2952.0,0.08019404796188846,True,376873271.0
2566,88062900,32.0,15327.0,9356789.0,386249785.0,รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,376892996.0,15295.0,0.024224709924434002,True,376892996.0
2566,88062400,4.0,868.0,1372152.0,134805959.0,รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,133433807.0,864.0,0.010178719176650046,True,133433807.0
2566,88062100,0.0,6484.0,0.0,128992068.0,รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,128992068.0,6484.0,0.0,True,128992068.0
2566,88069900,54.0,620.0,8322010.0,82867182.0,ไม่ใช่รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,74545172.0,566.0,0.10042588391626495,True,74545172.0
2566,88062300,3.0,13.0,5258647.0,6825766.0,รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,1567119.0,10.0,0.7704112622671214,True,1567119.0
2566,88069300,63.0,4.0,12341762.0,5745585.0,ไม่ใช่รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,-6596177.0,-59.0,2.148042714536466,False,
2566,88069200,0.0,578.0,0.0,4865119.0,ไม่ใช่รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,4865119.0,578.0,0.0,True,4865119.0
2566,88069100,0.0,524.0,0.0,3930862.0,ไม่ใช่รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,3930862.0,524.0,0.0,True,3930862.0
2566,88061000,1.0,3.0,6277.0,7613.0,โดยสาร -,ที่ออกแบบสำหรับการขนส่งผู้โดยสาร,1336.0,2.0,0.8245107053723894,True,1336.0
2567,88062200,21186.0,23930.0,1138865263.0,1042478177.0,รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,-96387086.0,2744.0,1.0924595719378785,False,
