ปี,เดือน,พิกัด8,รหัสสถิติ,หน่วย,คำอธิบาย,ปริมาณ,มูลค่าบาท,ทิศทาง
2565,1,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,3,145219,import
2565,1,88062900,000,C62,อื่น ๆ,2,26763,import
2565,1,88069100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,24,184094,import
2565,1,88069300,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,5,562983,import
2565,1,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,25,12806351,import
2565,2,88062100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,169,2485592,import
2565,2,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,110,6552019,import
2565,2,88062400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,50,8104691,import
2565,2,88062900,000,C62,อื่น ๆ,1,1258,import
2565,2,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,280,35574395,import
2565,2,88069900,000,C62,อื่น ๆ,30,6271316,import
2565,3,88062100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,681,8763183,import
2565,3,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,216,10009044,import
2565,3,88062400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,36,4939331,import
2565,3,88062900,000,C62,อื่น ๆ,10,706191,import
2565,3,88069300,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,3,741243,import
2565,3,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,74,5058254,import
2565,3,88069900,000,C62,อื่น ๆ,32,944208,import
2565,4,88062100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,168,2052540,import
2565,4,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,7,259083,import
2565,4,88062300,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,1,129553,import
2565,4,88062900,000,C62,อื่น ๆ,3,203188,import
2565,4,88069300,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,1,457830,import
2565,4,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,31,1141521,import
2565,4,88069900,000,C62,อื่น ๆ,128,2230286,import
2565,5,88062100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,1421,24040719,import
2565,5,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,141,5625560,import
2565,5,88062300,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,40,5271867,import
2565,5,88062400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,124,20349863,import
2565,5,88062900,000,C62,อื่น ๆ,1,12142,import
2565,5,88069100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,50,369196,import
2565,5,88069200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,2,25316,import
2565,5,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,193,16689895,import
2565,5,88069900,000,C62,อื่น ๆ,64,872220,import
