ปี,เดือน,พิกัด8,รหัสสถิติ,หน่วย,คำอธิบาย,ประเทศ,ปริมาณ,มูลค่าบาท,ทิศทาง
2565,1,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,CN,3,145219,import
2565,1,88062900,000,C62,อื่น ๆ,CZ,2,26763,import
2565,1,88069100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,CN,24,184094,import
2565,1,88069300,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,CN,5,562983,import
2565,1,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,CN,25,12806351,import
2565,2,88062100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,CN,169,2485592,import
2565,2,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,DE,7,871990,import
2565,2,88062200,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,CN,103,5680029,import
2565,2,88062400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,CN,50,8104691,import
2565,2,88062900,000,C62,อื่น ๆ,US,1,1258,import
2565,2,88069400,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,CN,280,35574395,import
2565,2,88069900,000,C62,อื่น ๆ,US,17,4695003,import
2565,2,88069900,000,C62,อื่น ๆ,CH,1,361286,import
2565,2,88069900,000,C62,อื่น ๆ,CN,11,1196971,import
2565,2,88069900,000,C62,อื่น ๆ,AU,1,18056,import
2565,3,88062100,000,C62,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,CN,681,8763183,import
