_ปีงบ,_หมวด,รหัสโครงการ,ชื่อโครงการ,ชื่อประเภทโครงการ,ชื่อหน่วยงาน,ชื่อหน่วยงานย่อย,กลุ่มวิธีจัดซื้อฯ,วันที่ประกาศ,งบประมาณ(บาท),ราคากลาง(บาท),ราคาตกลงซื้อ/จ้าง,จังหวัด,เขต/อำเภอ,สถานะโครงการ,เลขนิติบุคคล,ชื่อผู้ชนะ,เลขนิติบุคคล_ใช้ได้,_ผู้ชนะ_ปรับชื่อ,งบสัญญา(บาท),สถานะสัญญา,_คำที่พบ,_ไฟล์
2565,โดรน,65057360721,ซื้อโครงการจัดซื้ออากาศยานไร้คนขับ (UAV) สำหรับเฝ้าระวังและติดตามการลักลอบตัดไม้และล่าสัตว์ในอุทยานแห่งชาติ โดยวิธีคัดเลือก,ซื้อ,กรมอุทยานแห่งชาติ สัตว์ป่าและพันธุ์พืช,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช กรุงเทพฯ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48735000.0,48685000.0,48085800.0,กรุงเทพมหานคร,จตุจักร,ระหว่างดำเนินการ,1.05559E+11,บริษัท ซีอินสไพร์ จำกัด,False,ซีอินสไพร์,48085800,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,64127413028,ซื้อระบบอากาศยานไร้คนขับสนับสนุนปฏิบัติการทางยุทธวิธี แบบไฮบริด จำนวน 3 ชุด โดยวิธีคัดเลือก,ซื้อ,สำนักงานตำรวจแห่งชาติ,กองสรรพาวุธ สำนักงานส่งกำลังบำรุง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,20400000.0,20400000.0,20349000.0,กรุงเทพมหานคร,ดุสิต,ระหว่างดำเนินการ,1.05555E+11,บริษัท เอ็นจิเนียริ่ง รีวอร์ด (ประเทศไทย)  จำกัด,False,เอ็นจิเนียริ่ง รีวอร์ด (ประเทศไทย),20349000,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,64087696593,ซื้ออากาศยานไร้คนขับตรวจการณ์ระยะไกล (UAV) พร้อมอุปกรณ์และระบบควบคุม จำนวน 4 ลำ โดยวิธีคัดเลือก,ซื้อ,สำนักงานตำรวจแห่งชาติ,กองสรรพาวุธ สำนักงานส่งกำลังบำรุง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,160000000.0,160000000.0,159600000.0,กรุงเทพมหานคร,ดุสิต,ระหว่างดำเนินการ,1.07558E+11,บริษัท อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),False,อินเตอร์ลิ้งค์ เทเลคอม,159600000,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,64097430761,ซื้อจัดซื้ออากาศยานไร้คนขับ (UAV) ระยะที่ 2 โดยวิธีเฉพาะเจาะจง,ซื้อ,กองทัพเรือ,สำนักงานจัดหายุทโธปกรณ์ทหารเรือ กองทัพเรือ กรุงเทพฯ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,556100000.0,556100000.0,556099970.3,กรุงเทพมหานคร,บางกอกใหญ่,ระหว่างดำเนินการ,8.99621E+12,บริษัท Schiebel Aircraft GmbH,False,schiebel aircraft gmbh,556099970.3,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,64117336729,จ้างสร้างระบบอากาศยานไร้คนขับขนาดกลางเพื่อขยายผลสู่เชิงพาณิชย์ ระยะที่ 4 (จัดสร้างสถานีควบคุมภาคพื้นระบบอากาศยานไร้คนขับขนาดกลางและอุปกรณ์ประกอบที่เกี่ยวข้อง พร้อมติดตั้ง ประกอบรวม และทดสอบ) โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,สถาบันเทคโนโลยีป้องกันประเทศ,สถาบันเทคโนโลยีป้องกันประเทศ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,295000000.0,295000000.0,294900000.0,นนทบุรี,บางใหญ่,ระหว่างดำเนินการ,1.35545E+11,บริษัท พีวายเอ็น อินเตอร์เนชั่นแนล จำกัด,False,พีวายเอ็น อินเตอร์เนชั่นแนล,294900000,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,64127147977,ซื้ออากาศยานไร้คนขับประจำฐานบินชายฝั่ง โดยวิธีคัดเลือก,ซื้อ,กองทัพเรือ,กองทัพเรือ (สยป.ทร/งานโครงการจัดหายุทโธปกรณ์หลักของ ทร.),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,4070000000.0,3962040000.0,4004652000.0,กรุงเทพมหานคร,บางกอกใหญ่,ระหว่างดำเนินการ,8.99641E+12,Elbit Systems - AEROSPACE,False,elbit systems - aerospace,4004652000,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,65097125458,จ้างที่ปรึกษาประมวลผลข้อมูลแผนที่ ๓ มิติ จากระบบสำรวจภูมิประเทศแบบเคลื่อนที่และจัดทำหมุดควบคุมภาคพื้นดิน พร้อมสำรวจข้อมูลด้วยอากาศยานไร้คนขับและประมวลผลข้อมูล ๓ มิติ โดยวิธีเฉพาะเจาะจง,จ้างที่ปรึกษา,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),งานจ้างที่ปรึกษา,-,8500000.0,8500000.0,8500000.0,กรุงเทพมหานคร,จตุจักร,สิ้นสุดสัญญา,9.94E+11,มหาวิทยาลัยศรีนครินทรวิโรฒ,False,มหาวิทยาลัยศรีนครินทรวิโรฒ,8500000,สิ้นสุดสัญญา,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,64027325002,ประกวดราคาจ้างสำรวจเก็บข้อมูลและจัดทำแผนที่ภาพถ่ายทางอากาศและแผนที่ภูมิประเทศด้วยอากาศยานไร้คนขับ และเพิ่มประสิทธิภาพการประมวลผลภายใต้โครงการพัฒนาพื้นที่ต้นแบบการพัฒนาคุณภาพชีวิตตามหลักทฤษฎี ประยุกต์สู่ โคก หนอง นา โมเดล ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน),สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,10-มี.ค.-64,31200000.0,31533256.67,7197600.0,กรุงเทพมหานคร,หลักสี่,สิ้นสุดสัญญา,1.05543E+11,บริษัท อัลทิเมท โพซิชั่นนิ่ง จำกัด,False,อัลทิเมท โพซิชั่นนิ่ง,7197600,สิ้นสุดสัญญา,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
2565,โดรน,65037196552,ซื้อชุดนาโนโดรนตรวจการณ์ทางยุทธวิธี สนับสนุน ขกท. ตามโครงการจัดหายุทโธปกรณ์สนับสนุนหน่วยในการปฏิบัติภารกิจใน ๓ จชต. ประจำปีงบประมาณ ๒๕๖๕ รายการชุดนาโนโดรนตรวจการณ์ทางยุทธวิธี สนับสนุน ขกท. โดยวิธีเฉพาะเจาะจง,ซื้อ,กองทัพบก,กองทัพบก โดย กรมการทหารสื่อสาร,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,7250000.0,7250000.0,7247000.0,กรุงเทพมหานคร,ดุสิต,ระหว่างดำเนินการ,1.05532E+11,บริษัท ดีเฟ้นเทค จำกัด,False,ดีเฟ้นเทค,7247000,ระหว่างดำเนินการ,โดรน,2565-cgd-contract-1.csv
2565,โดรน,65077085298,ซื้อระบบตรวจการณ์ ทางยุทธวิธีด้วยอากาศยานไร้คนขับ แบบประจำที่ สนับสนุน ขกท.ตามแผนงานโครงการจัดหายุทโธปกรณ์สนับสนุนหน่วยในการปฏิบัติภารกิจใน 3 จชต. ประจำปีงบประมาณ ๒๕๖๕ โดยวิธีคัดเลือก,ซื้อ,กองทัพบก,กองทัพบก โดย กรมการทหารสื่อสาร,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,7995000.0,7995000.0,7995000.0,กรุงเทพมหานคร,ดุสิต,ระหว่างดำเนินการ,1.05553E+11,บริษัท วีไอเอส (ประเทศไทย) จำกัด,False,วีไอเอส (ประเทศไทย),7995000,ระหว่างดำเนินการ,อากาศยานไร้คนขับ,2565-cgd-contract-1.csv
