name,address,phone,province,matched,match_type
บจก.ดีเจไอ มาร์คโดรนการเกษตร,28/5 ยางใหญ่ หมู่ 3 ตำบลหนองเต่า อำเภอเก้าเลี้ยว จังหวัดนครสวรรค์ 60230,-,นครสวรรค์,ดีเจไอ (DJI),brand
บจก.เอชจี โรโบติกส์,55/15 - หมู่ 5 ซอย- ถนน- ตำบลบางระกำ อำเภอบางเลน จังหวัดนครปฐม 73130,02-8215677,นครปฐม,เอชจี โรโบติกส์ (HG ROBOTICS),brand
บจก.โพลาโดรน ดิสทริบิวชั่น,30 ซอยสุขุมวิท 61 (เศรษฐบุตร) แขวงคลองตันเหนือ เขตวัฒนา จังหวัดกรุงเทพมหานคร 10110,06-2285-9984,กรุงเทพมหานคร,โพลาโดรน (POLADRONE),brand
บจก.ซอร์ อินทู สกาย โดรน เทคโนโลยี (ประเทศไทย),7/20 หมู่ 4 ตำบลพนานิคม อำเภอนิคมพัฒนา จังหวัดระยอง 21180,080-1915400,ระยอง,โดรน,keyword
บจก.ธมกร โดรนการเกษตร,110/27 หมู่ 1 ถนนสงขลา - ระโนด ตำบลม่วงงาม อำเภอสิงหนคร จังหวัดสงขลา 90330,094-8795262,สงขลา,โดรน,keyword
บจก.บลิส โดรน,96  หมู่  ซอย ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ จังหวัดกรุงเทพมหานคร 10250,02-0263241,กรุงเทพมหานคร,โดรน,keyword
บจก.มาร์คโดรนเกษตร,28/5 หมู่ 3 ตำบลหนองเต่า อำเภอเก้าเลี้ยว จังหวัดนครสวรรค์ 60230,0845795766,นครสวรรค์,โดรน,keyword
บจก.ยูเอวี กรุ๊ป (ไทยแลนด์),22/34 ซอยลาดพร้าว 21  แขวงจอมพล เขตจตุจักร จังหวัดกรุงเทพมหานคร 10900,0879971666,กรุงเทพมหานคร,ยูเอวี,keyword
บจก.ศักดิ์สยาม เมกเกอร์ โดรน,164/6 - หมู่ 6 ซอย- ถนน- ตำบลท่าเสา อำเภอเมืองอุตรดิตถ์ จังหวัดอุตรดิตถ์ 53000,089-2455429,อุตรดิตถ์,โดรน,keyword
บจก.สยามยูเอวี อินดัสตรีส์,522/57 ถนนสาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา จังหวัดกรุงเทพมหานคร 10120,0-2286-4590,กรุงเทพมหานคร,ยูเอวี,keyword
บจก.อะกรีเทคโดรน,70 หมู่ 7 ตำบลท่าตาล อำเภอบางกระทุ่ม จังหวัดพิษณุโลก 65110,-,พิษณุโลก,โดรน,keyword
บจก.อีเกิ้ล โดรน,108/8 หมู่ 4 ตำบลงิ้วราย อำเภอนครชัยศรี จังหวัดนครปฐม 73120,081-3015545,นครปฐม,โดรน,keyword
บจก.เคทีวี เวิร์คกิ้ง โดรน (ประเทศไทย),1818  รสาทู ห้องเลขที่ 1865 ชั้นที่ 18 ถนนเพชรบุรี แขวงมักกะสัน เขตราชเทวี จังหวัดกรุงเทพมหานคร 10400,0977830725,กรุงเทพมหานคร,โดรน,keyword
บจก.เดฟโดรนแมพเปอร์,46/94 ถนนบางแสนสาย4 เหนือ ตำบลแสนสุข อำเภอเมืองชลบุรี จังหวัดชลบุรี 20130,06-1549-3300,ชลบุรี,โดรน,keyword
บจก.โดรน เอไอ,1/3 ซอยพระรามเก้า45 (ถนนเสรี5) แขวงพัฒนาการ เขตสวนหลวง จังหวัดกรุงเทพมหานคร 10250,0944619569,กรุงเทพมหานคร,โดรน,keyword
บจก.โดรน เอ็นทรี่ (ไทยแลนด์),58 หมู่ 9 ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี 12120,0984306178,ปทุมธานี,โดรน,keyword
บจก.โดรนบอทเทค,430 ถนนนิพัทธ์สงเคราะห์ 5 ตำบลหาดใหญ่ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,0822509880,สงขลา,โดรน,keyword
บจก.โดรนสเปช,55 จรัญสนิทวงศ์ 89/2 แขวงบางอ้อ เขตบางพลัด จังหวัดกรุงเทพมหานคร 10700,0658929569,กรุงเทพมหานคร,โดรน,keyword
บจก.โดรนอาคาเดมิค(ไทยแลนด์),58/64 หมู่ 3 ตำบลคลองเกลือ อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,-,นนทบุรี,โดรน,keyword
บจก.โดรนิกซ์ เทค,160 ซอยทวีวัฒนา-กาญจนาภิเษก 2/1 แขวงทวีวัฒนา เขตทวีวัฒนา จังหวัดกรุงเทพมหานคร 10170,0658965915,กรุงเทพมหานคร,โดรน,keyword
บจก.โดรนเทค,36/165 ถนนมอเตอร์เวย์ แขวงคลองสองต้นนุ่น เขตลาดกระบัง จังหวัดกรุงเทพมหานคร 10520,098-3585958,กรุงเทพมหานคร,โดรน,keyword
บจก.โดรนแมพ,79/16 หมู่ 1 ตำบลกองดิน อำเภอแกลง จังหวัดระยอง 22160,087-9416306,ระยอง,โดรน,keyword
บจก.โดรนแล็บ เอเชีย,31/63 ซอยงามวงศ์วงวาน 43 แยก 2 (ชินเขต 1) แขวงทุ่งสองห้อง เขตหลักสี่ จังหวัดกรุงเทพมหานคร 10210,-,กรุงเทพมหานคร,โดรน,keyword
อัลทูรา ยูเอวี จำกัด,616/6 ถนนลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว จังหวัดกรุงเทพมหานคร 10230,0636452456,กรุงเทพมหานคร,ยูเอวี,keyword
