year,month,flow,country_code,country_en,country_th,quantity,value_usd,value_baht,acc_value_usd,acc_value_baht
2022,1,import,CN,CHINA,จีน,57.0,405913.4993,13698647.0,405913.4993,13698647.0
2022,1,import,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,2.0,793.0318,26763.0,793.0318,26763.0
2022,2,import,CN,CHINA,จีน,613.0,1595444.764,53041678.0,2001358.2633,66740325.0
2022,2,import,US,U.S.A.,สหรัฐอเมริกา,18.0,141259.2004,4696261.0,141259.2004,4696261.0
2022,2,import,DE,GERMANY,เยอรมนี,7.0,26228.6551,871990.0,26228.6551,871990.0
2022,2,import,CH,SWITZERLAND,สวิตเซอร์แลนด์,1.0,10867.1497,361286.0,10867.1497,361286.0
2022,2,import,AU,AUSTRALIA,ออสเตรเลีย,1.0,543.1078,18056.0,543.1078,18056.0
2022,2,import,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,0.0,0.0,0.0,793.0318,26763.0
2022,3,import,CN,CHINA,จีน,1039.0,939338.7579,30420016.0,2940697.0212,97160341.0
2022,3,import,KR,S. KOREA,เกาหลีใต้,10.0,21806.4506,706191.0,21806.4506,706191.0
2022,3,import,US,U.S.A.,สหรัฐอเมริกา,1.0,719.0168,23285.0,141978.2172,4719546.0
2022,3,import,JP,JAPAN,ญี่ปุ่น,2.0,369.3742,11962.0,369.3742,11962.0
2022,3,import,AU,AUSTRALIA,ออสเตรเลีย,0.0,0.0,0.0,543.1078,18056.0
2022,3,import,DE,GERMANY,เยอรมนี,0.0,0.0,0.0,26228.6551,871990.0
2022,3,import,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,0.0,0.0,0.0,793.0318,26763.0
2022,3,import,CH,SWITZERLAND,สวิตเซอร์แลนด์,0.0,0.0,0.0,10867.1497,361286.0
2022,4,import,CN,CHINA,จีน,333.0,183986.4336,6195044.0,3124683.4548,103355385.0
2022,4,import,KR,S. KOREA,เกาหลีใต้,2.0,4548.6053,153157.0,26355.0559,859348.0
2022,4,import,TW,TAIWAN,ไต้หวัน,1.0,1485.8692,50031.0,1485.8692,50031.0
2022,4,import,US,U.S.A.,สหรัฐอเมริกา,1.0,1187.2164,39975.0,143165.4336,4759521.0
2022,4,import,JP,JAPAN,ญี่ปุ่น,2.0,1063.045,35794.0,1432.4192,47756.0
2022,4,import,AU,AUSTRALIA,ออสเตรเลีย,0.0,0.0,0.0,543.1078,18056.0
2022,4,import,DE,GERMANY,เยอรมนี,0.0,0.0,0.0,26228.6551,871990.0
2022,4,import,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,0.0,0.0,0.0,793.0318,26763.0
2022,4,import,CH,SWITZERLAND,สวิตเซอร์แลนด์,0.0,0.0,0.0,10867.1497,361286.0
2022,5,import,CN,CHINA,จีน,2033.0,2158707.3835,73227456.0,5283390.8383,176582841.0
2022,5,import,SG,SINGAPORE,สิงคโปร์,2.0,506.4575,17180.0,506.4575,17180.0
2022,5,import,AU,AUSTRALIA,ออสเตรเลีย,1.0,357.9399,12142.0,901.0477,30198.0
2022,5,import,US,U.S.A.,สหรัฐอเมริกา,0.0,0.0,0.0,143165.4336,4759521.0
2022,5,import,KR,S. KOREA,เกาหลีใต้,0.0,0.0,0.0,26355.0559,859348.0
2022,5,import,DE,GERMANY,เยอรมนี,0.0,0.0,0.0,26228.6551,871990.0
2022,5,import,CH,SWITZERLAND,สวิตเซอร์แลนด์,0.0,0.0,0.0,10867.1497,361286.0
2022,5,import,JP,JAPAN,ญี่ปุ่น,0.0,0.0,0.0,1432.4192,47756.0
2022,5,import,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,0.0,0.0,0.0,793.0318,26763.0
2022,5,import,TW,TAIWAN,ไต้หวัน,0.0,0.0,0.0,1485.8692,50031.0
2022,6,import,CN,CHINA,จีน,1255.0,1425256.8944,49305337.0,6708647.7327,225888178.0
2022,6,import,US,U.S.A.,สหรัฐอเมริกา,3.0,20697.5198,716010.0,163862.9534,5475531.0
2022,6,import,DE,GERMANY,เยอรมนี,2.0,17322.6861,599261.0,43551.3412,1471251.0
2022,6,import,AU,AUSTRALIA,ออสเตรเลีย,0.0,0.0,0.0,901.0477,30198.0
2022,6,import,KR,S. KOREA,เกาหลีใต้,0.0,0.0,0.0,26355.0559,859348.0
