brand,model_final,L,units,lo,hi,นอกช่วง fit,val_lo,val_hi
BUG AWAY,BA10L,10.0,349,85465.47722253932,226703.35761913488,False,29827451.550666224,79119471.80907807
BUG AWAY,BA15L,15.0,134,92251.90178258914,244704.8394336717,False,12361754.838866943,32790448.48411201
KASET GEN-Y,GCS-9 3 ลิตร,3.0,110,68116.70068689827,180684.47351493832,True,7492837.07555881,19875292.086643215
AGRI-MASTER,QHX-10L,10.0,84,85465.47722253932,226703.35761913488,False,7179100.086693304,19043082.04000733
SEGUMO,SGM2016L,16.0,71,93380.75351499965,247699.20027161896,False,6630033.4995649755,17586643.219284948
SATI,PANYA V.2-12L,12.0,69,88452.99068317041,234627.95307530835,False,6103256.3571387585,16189328.762196276
NOVY,NV-10L,10.0,60,85465.47722253932,226703.35761913488,False,5127928.63335236,13602201.457148094
BUG AWAY,BA5L,5.0,47,75000.0,198942.92261614001,True,3525000.0,9350317.36295858
AERO DRONE,AR 11L,11.0,37,87014.41854272918,230812.03646179455,False,3219533.48608098,8540045.349086398
TYI,TYI8-16L,16.0,30,93380.75351499965,247699.20027161896,False,2801422.6054499894,7430976.008148569
SEGUMO,SG10L,10.0,26,85465.47722253932,226703.35761913488,False,2222102.4077860224,5894287.298097507
SEGUMO,SG16L,16.0,22,93380.75351499965,247699.20027161896,False,2054376.5773299923,5449382.4059756175
AERO DRONE,AR-11L,11.0,11,87014.41854272918,230812.03646179455,False,957158.603970021,2538932.40107974
SEGUMO,SG05L-1,5.0,8,75000.0,198942.92261614001,True,600000.0,1591543.3809291201
TYI,TYI6-15L,15.0,4,92251.90178258914,244704.8394336717,False,369007.60713035654,978819.3577346868
BUG AWAY,BA3L,3.0,3,68116.70068689827,180684.47351493832,True,204350.10206069483,542053.420544815
AERO DRONE,JYI-10L,10.0,1,85465.47722253932,226703.35761913488,False,85465.47722253932,226703.35761913488
TYI,TYI8-10L,10.0,1,85465.47722253932,226703.35761913488,False,85465.47722253932,226703.35761913488
ประกอบเอง,BA5L,5.0,1,75000.0,198942.92261614001,True,75000.0,198942.92261614001
