kind,brand,key,chosen,chosen_share,candidates
code→หลายชื่อ,DJI,DEN225,NEO 2,0.8974,NEO 2×752 | NEO 2 MOTION×86
code→หลายชื่อ,DJI,DN1A0626,NEO,0.9154,NEO×3507 | NEO MOTION×324
code→หลายชื่อ,DJI,DVN3NT,AVATA 360,0.6455,AVATA 360×193 | AVATA 360 MOTION×106
code→หลายชื่อ,DJI,MR1SD25,MAVIC MINI,0.9982,MAVIC MINI×565 | MINI SE×1
code→หลายชื่อ,DJI,MT2PD,MINI 2,0.9986,MINI 2×1420 | MINI 2 FLY MORE×1 | MINI×1
code→หลายชื่อ,DJI,MT2SD,MINI 2 SE,0.7887,MINI 2 SE×668 | MINI 4K×179
code→หลายชื่อ,DJI,MT2SD25,MINI SE,0.8759,MINI SE×734 | MINI SE FLY×104
code→หลายชื่อ,DJI,MT5MFND,MINI 5 PRO,0.9981,MINI 5 PRO×3097 | MINI 5 PRO FLYMORE PLUS×6
code→หลายชื่อ,DJI,WM331S,PHANTOM 4 PRO V2.0,0.6429,PHANTOM 4 PRO V2.0×18 | PHANTOM 4 PRO+V2.0×9 | PHANTOM 4 PRO + V2.0×1
code→หลายชื่อ,HUBSAN,HT018F,ZINO MINI PRO,0.873,ZINO MINI PRO×55 | ZINO MINI SE×8
ชื่อ→หลายรหัส,DJI,AIR 2S,DA2SUE1,0.9476,DA2SUE1×506 | DA2SUE×28
ชื่อ→หลายรหัส,DJI,MAVIC AIR 2,MA2UE1N,0.6192,MA2UE1N×818 | MA2UE3W×503
ชื่อ→หลายรหัส,DJI,MAVIC MINI,MT1SD25,0.5004,MT1SD25×567 | MR1SD25×565 | MT1SS5×1
ชื่อ→หลายรหัส,DJI,MINI 2,MT2PD,0.9993,MT2PD×1420 | MT270×1
ชื่อ→หลายรหัส,DJI,MINI 4K,MT2SDCE,0.6757,MT2SDCE×373 | MT2SD×179
ชื่อ→หลายรหัส,DJI,MINI SE,MT2SD25,0.9973,MT2SD25×734 | MR1SD25×1 | MT2SS5×1
ชื่อ→หลายรหัส,DJI,NEO 2 MOTION,DEN225,0.6935,DEN225×86 | TKM03×38
ชื่อ→หลายรหัส,DJI,PHANTOM 4 MULTISPECTRAL,WM336,0.5,WM336×5 | WM336A×5
