brand,code,model,rows_support,top_share,n_distinct_names,all_names
DJI,DN1A0626,NEO,3831,0.9154,2,NEO×3507 | NEO MOTION×324
DJI,MT4MFVD,MINI 4 PRO,3226,1.0,1,MINI 4 PRO×3226
DJI,MT5MFND,MINI 5 PRO,3103,0.9981,2,MINI 5 PRO×3097 | MINI 5 PRO FLYMORE PLUS×6
DJI,DF1A0424,FLIP,1940,1.0,1,FLIP×1940
DJI,3WWDZ-40B,AGRAS T50,1624,1.0,1,AGRAS T50×1624
DJI,3WWDZ-20A,AGRAS T20P,1617,1.0,1,AGRAS T20P×1617
DJI,3WWDZ-20B,AGRAS T25,1510,1.0,1,AGRAS T25×1510
DJI,CZ3SCL,AIR 3S,1509,1.0,1,AIR 3S×1509
DJI,MT3PD,MINI 3,1459,1.0,1,MINI 3×1459
DJI,3WWDZ-40A,AGRAS T40,1426,1.0,1,AGRAS T40×1426
DJI,MT2PD,MINI 2,1422,0.9986,3,MINI 2×1420 | MINI 2 FLY MORE×1 | MINI×1
DJI,EB3WBC,AIR 3,1199,1.0,1,AIR 3×1199
DJI,3WWDZ-U70A,AGRAS T70P,1123,1.0,1,AGRAS T70P×1123
DJI,3WWDZ-30A,AGRAS T30,871,1.0,1,AGRAS T30×871
DJI,MT2SD,MINI 2 SE,847,0.7887,2,MINI 2 SE×668 | MINI 4K×179
DJI,DEN225,NEO 2,838,0.8974,2,NEO 2×752 | NEO 2 MOTION×86
DJI,MT2SD25,MINI SE,838,0.8759,2,MINI SE×734 | MINI SE FLY×104
DJI,MA2UE1N,MAVIC AIR 2,818,1.0,1,MAVIC AIR 2×818
DJI,QF3W4K,AVATA 2,684,1.0,1,AVATA 2×684
DJI,3WWDZ-U75A,AGRAS T100,602,1.0,1,AGRAS T100×602
DJI,MT1SD25,MAVIC MINI,567,1.0,1,MAVIC MINI×567
DJI,MR1SD25,MAVIC MINI,566,0.9982,2,MAVIC MINI×565 | MINI SE×1
DJI,3WWDZ-15.1B,AGRAS T20,513,1.0,1,AGRAS T20×513
DJI,DA2SUE1,AIR 2S,506,1.0,1,AIR 2S×506
DJI,MA2UE3W,MAVIC AIR 2,503,1.0,1,MAVIC AIR 2×503
DJI,3WWDZ-20C,AGRAS T25P,482,1.0,1,AGRAS T25P×482
DJI,MT3M3VD,MINI 3 PRO,381,1.0,1,MINI 3 PRO×381
DJI,MT2SDCE,MINI 4K,373,1.0,1,MINI 4K×373
DJI,3WWDZ-10A,AGRAS T10,369,1.0,1,AGRAS T10×369
DJI,DVN3NT,AVATA 360,299,0.6455,2,AVATA 360×193 | AVATA 360 MOTION×106
XAG,3WWDZ-40AT,P100,137,1.0,1,P100×137
HUBSAN,HT018F,ZINO MINI PRO,63,0.873,2,ZINO MINI PRO×55 | ZINO MINI SE×8
XAG,3WWDZ-50AT,P100 PRO,61,1.0,1,P100 PRO×61
DJI,WM334R,PHANTOM 4 RTK,52,1.0,1,PHANTOM 4 RTK×52
DJI,3WWDZ-U50C,AGRAS T55,43,1.0,1,AGRAS T55×43
DJI,TKM03,NEO 2 MOTION,38,1.0,1,NEO 2 MOTION×38
DJI,3WWDZ-15A,AGRAS T16,35,1.0,1,AGRAS T16×35
DJI,DA2SUE,AIR 2S,28,1.0,1,AIR 2S×28
DJI,WM331S,PHANTOM 4 PRO V2.0,28,0.6429,3,PHANTOM 4 PRO V2.0×18 | PHANTOM 4 PRO+V2.0×9 | PHANTOM 4 PRO + V2.0×1
DJI,MM1A,SPARK,18,1.0,1,SPARK×18
DJI,TLW004,TELLO BOOST,16,1.0,1,TELLO BOOST×16
DJI,WM336A,PHANTOM 4 MULTISPECTRAL,5,1.0,1,PHANTOM 4 MULTISPECTRAL×5
DJI,WM336,PHANTOM 4 MULTISPECTRAL,5,1.0,1,PHANTOM 4 MULTISPECTRAL×5
DJI,MT1SS5,MAVIC MINI,1,1.0,1,MAVIC MINI×1
DJI,MT2SS5,MINI SE,1,1.0,1,MINI SE×1
DJI,MT270,MINI 2,1,1.0,1,MINI 2×1
DJI,WM331A,PHANTOM 4 PRO,1,1.0,1,PHANTOM 4 PRO×1
DRONE DJI,MT3M3VD,MINI 3 PRO,1,1.0,1,MINI 3 PRO×1
