brand,model,n,p_min,p_median,p_max,years_be
DJI,AIR 3,2,55093.0,58796.5,62500.0,2567-2567
DJI,PHANTOM 4,2,19581.0,40640.5,61700.0,2561-2565
DJI,PHANTOM 4 PRO,2,81000.0,81000.0,81000.0,2563-2563
DJI,AIR 3S,1,51500.0,51500.0,51500.0,2568-2568
DJI,MATRICE 4E,1,182700.0,182700.0,182700.0,2568-2568
DJI,FPV,1,31990.0,31990.0,31990.0,2565-2565
DJI,MAVIC 2 PRO,1,70600.0,70600.0,70600.0,2562-2562
DJI,MAVIC 3,1,225600.0,225600.0,225600.0,2568-2568
DJI,MAVIC AIR 2,1,43500.0,43500.0,43500.0,2564-2564
DJI,MAVIC AIR,1,39500.0,39500.0,39500.0,2563-2563
DJI,MAVIC PRO,1,40000.0,40000.0,40000.0,2562-2562
DJI,MAVIC MINI,1,48150.0,48150.0,48150.0,2566-2566
