brand,model,unit_price,qty,year_be,price_from,project
DJI,PHANTOM 4,61700.0,1,2561,ราคาตกลงจริง,ซื้อโดรน DJI PHANTOM ๔ V๒  จำนวน ๑ ตัว โดยวิธีเฉพาะเจาะจง
DJI,MAVIC 2 PRO,70600.0,1,2562,ราคาตกลงจริง,ซื้อชุดหุ่นยนต์อากาศยานไร้คนขับ(UAV) รุ่น Mavic 2 Pro พร้อมอุปกรณ์เสริม (โดรน) จำนวน 1 ชุด โดยวิธีเฉพาะเจาะจง
DJI,MAVIC PRO,40000.0,1,2562,ราคาตกลงจริง,ซื้อโดรนบังคับ DJI Mavic Pro Combo จำนวน 1 ตัว โดยวิธีเฉพาะเจาะจง
DJI,PHANTOM 4 PRO,81000.0,1,2563,ราคาตกลงจริง,ซื้ออากาศยานไร้คนขับพร้อมชุดถ่ายภาพทางอากาศ ยี่ห้อ DJI รุ่น PHANTOM ๔ PRO เพื่อใช้ในกิจการขององค์การบริหารส่วน
DJI,PHANTOM 4 PRO,81000.0,1,2563,ราคาตกลงจริง,ซื้ออากาศยานไร้คนขับพร้อมชุดถ่ายภาพทางอากาศ ยี่ห้อ DJI รุ่น PHANTOM ๔ PRO เพื่อใช้ในกิจการขององค์การบริหารส่วน
DJI,MAVIC AIR,39500.0,1,2563,ราคาตกลงจริง,ซื้อครุภัณฑ์โฆษณาและเผยแพร่ โดรนถ่ายภาพ บังคับพับเก็บได้ ยี่ห้อ DJI รุ่น MAVIC AIR พร้อมอุปกรณ์ จำนวน ๑ ชุด โด
DJI,MAVIC AIR 2,43500.0,1,2564,ราคาตกลงจริง,ซื้ออากาศยานไร้คนขับพร้อมกล้อง(Mavic air๒ Combo) จำนวน ๑ ชุด โดยวิธีเฉพาะเจาะจง
DJI,FPV,31990.0,1,2565,ราคาตกลงจริง,ซื้อโดรน  DJI FPV COMBO  จำนวน 1 ตัว โดยวิธีเฉพาะเจาะจง
DJI,PHANTOM 4,19581.0,1,2565,ราคาตกลงจริง,ซื้อขึ้นทะเบียนเป็นผู้ครอบครองโดรน และขึ้นทะเบียนเป็นผู้บังคับโดรน DJI Phantom 4 (อากาศยานไร้คนขับ) หมายเลขครุ
DJI,MAVIC MINI,48150.0,10,2566,ราคาตกลงจริง,"ซื้อโดรน DJI Mavic Mini จำนวน 10 ชุด จัดสรรให้ กฟส. 10 แห่ง (กฟส.บ้านโฮ่ง, แจ้ห่ม, เวียงชัย, จุน, ดอกคำใต้, แม"
DJI,AIR 3,62500.0,1,2567,ราคาตกลงจริง,ซื้อโดรน DJI AIR3 Fly More Combo จำนวน 1 ชุด โดยวิธีเฉพาะเจาะจง
DJI,AIR 3,55093.0,1,2567,ราคาตกลงจริง,ซื้อวัสดุในการดำเนินโครงการ TK studio Library (โดรน Air3) จำนวน 1 ชุด  โดยวิธีเฉพาะเจาะจง
DJI,MAVIC 3,225600.0,1,2568,ราคาตกลงจริง,ซื้อครุภัณฑ์โฆษณาและเผยแพร่ โดรน สำหรับประมวลผลภาพเพื่อคัดเลือก Mavic 3 Multispectral จำนวน 1 เครื่อง โดยวิธีเ
DJI,MATRICE 4E,182700.0,1,2568,ราคาตกลงจริง,ซื้ออุปกรณ์ถ่ายภาพของอากาศยานไร้คนขับ DJI Matrice 4E (โดรน+RTK)  จำนวน 1 ชุด โดยวิธีเฉพาะเจาะจง
DJI,AIR 3S,51500.0,1,2568,ราคาตกลงจริง,"ซื้อโดรน DJI Air 3S (DJI RC-N3) จำนวน 1 ลำๆละ 51,500 บาท โดยวิธีเฉพาะเจาะจง"
