year,retail,imp_hi,imp_lo,customs_import
2017,168750514.0,143373418.86151227,126168608.59813082,
2018,150051868.0,127486718.77655053,112188312.52336447,
2019,226307160.0,192274562.44689885,169201614.953271,
2020,375695143.0,319197232.7952421,280893564.8598131,
2021,778494602.0,661422771.4528462,582052038.8785046,
2022,1026614738.0,872230023.7892947,767562420.9345794,1387660081.0
2023,1349463523.0,1146528056.9243839,1008944690.0934578,2576990161.0
2024,1881476401.0,1598535599.8300765,1406711327.8504672,3131926653.0
2025,2144933469.0,1822373380.6287167,1603688574.953271,6804347867.0
2026,1147559160.0,974986542.0560746,857988157.0093458,629637572.0
