brand,model_final,class,units,val,val_lo,val_hi
DJI,AGRAS T20P,เกษตร,4570,1005400000.0,1005400000.0,1530950000.0
DJI,AGRAS T40,เกษตร,2734,806530000.0,806530000.0,1295916000.0
DJI,AGRAS T50,เกษตร,2521,743695000.0,743695000.0,794115000.0
DJI,AGRAS T25,เกษตร,2737,686987000.0,686987000.0,686987000.0
DJI,AGRAS T30,เกษตร,1952,478240000.0,478240000.0,712480000.0
DJI,MINI 4 PRO,ทั่วไป,16402,358383700.0,358383700.0,521419580.0
DJI,AGRAS T70P,เกษตร,1648,320536000.0,320536000.0,591632000.0
DJI,MINI 3 PRO,ทั่วไป,14271,311821350.0,311821350.0,442258290.0
DJI,AGRAS T100,เกษตร,819,278050500.0,278050500.0,278050500.0
DJI,AGRAS T20,เกษตร,1001,240240000.0,240240000.0,335335000.0
DJI,MINI 2,ทั่วไป,16388,237626000.0,237626000.0,343984120.0
DJI,MAVIC AIR 2,ทั่วไป,8920,231028000.0,231028000.0,388020000.0
DJI,AIR 2S,ทั่วไป,6055,211864450.0,211864450.0,279741000.0
DJI,AGRAS T25P,เกษตร,1245,201814500.0,201814500.0,359805000.0
DJI,AGRAS T10,เกษตร,1238,189414000.0,189414000.0,259980000.0
DJI,MAVIC 2 PRO,ทั่วไป,2889,163228500.0,163228500.0,210897000.0
DJI,AIR 3,ทั่วไป,4350,152206500.0,152206500.0,210931500.0
NAC DRONE,EASY3,เกษตร,764,143555600.0,143555600.0,281916000.0
DJI,MAVIC PRO,ทั่วไป,4058,138743020.0,138743020.0,162320000.0
DJI,AGRAS MG-1P,เกษตร,702,133380000.0,133380000.0,273780000.0
DJI,MAVIC AIR,ทั่วไป,5026,130173400.0,130173400.0,198527000.0
DJI,MAVIC MINI,ทั่วไป,9154,109848000.0,109848000.0,137310000.0
DJI,MINI 3,ทั่วไป,7219,107563100.0,107563100.0,208629100.0
DJI,MAVIC 3 PRO,ทั่วไป,1110,104328900.0,104328900.0,104328900.0
DJI,MINI 5 PRO,ทั่วไป,4054,104147260.0,104147260.0,104147260.0
DJI,PHANTOM 4 PRO,ทั่วไป,1337,103215063.0,103215063.0,108297000.0
DJI,MAVIC 3 THERMAL,ทั่วไป,462,86394000.0,86394000.0,86394000.0
DJI,MAVIC 3,ทั่วไป,1096,80983440.0,80983440.0,80983440.0
DJI,AGRAS T16,เกษตร,521,79713000.0,79713000.0,109410000.0
DJI,AGRAS MG-1,เกษตร,405,76950000.0,76950000.0,76950000.0
DJI,MINI 2 SE,ทั่วไป,7486,74785140.0,74785140.0,122770400.0
DJI,FLIP,ทั่วไป,4629,59714100.0,59714100.0,59714100.0
DJI,SPARK,ทั่วไป,3707,57421430.0,57421430.0,77847000.0
DJI,NEO,ทั่วไป,9720,53362800.0,53362800.0,53362800.0
DJI,MAVIC 2 ZOOM,ทั่วไป,910,50960000.0,50960000.0,50960000.0
DJI,AVATA 2,ทั่วไป,3197,47635300.0,47635300.0,110616200.0
DJI,PHANTOM 4,ทั่วไป,726,44794200.0,44794200.0,44794200.0
DJI,MATRICE 4T,ทั่วไป,205,44485000.0,44485000.0,44485000.0
DJI,NEO 2,ทั่วไป,4686,35145000.0,35145000.0,85753800.0
DJI,MINI SE,ทั่วไป,3462,34585380.0,34585380.0,48433380.0
DJI,MATRICE 4E,ทั่วไป,215,31605000.0,31605000.0,39280500.0
DJI,MAVIC 3 ENTERPRISE,ทั่วไป,223,30551000.0,30551000.0,30551000.0
KASET GEN-Y,GCS-9+,เกษตร,387,29025000.0,29025000.0,32895000.0
DJI,FPV,ทั่วไป,847,27019300.0,27019300.0,27095530.0
DJI,MATRICE 350 RTK,ทั่วไป,100,25150000.0,25150000.0,25150000.0
DJI,PHANTOM 4 RTK,ทั่วไป,171,23256000.0,23256000.0,23256000.0
DJI,PHANTOM 3 STANDARD,ทั่วไป,619,13908930.0,13908930.0,13908930.0
DJI,MINI 4K,ทั่วไป,1299,12977010.0,12977010.0,18302910.0
DJI,AGRAS MG-1S,เกษตร,39,7410000.0,7410000.0,11310000.0
DJI,PHANTOM 4 ADV,ทั่วไป,195,7000305.0,7000305.0,7000305.0
KASET GEN-Y,GCS-9,เกษตร,35,2625000.0,2625000.0,2975000.0
DJI,LITO X1,ทั่วไป,222,2541900.0,2541900.0,2541900.0
