year,units,val,val_lo,val_hi,units_all,coverage,val_scaled
2017,4648,168850183.0,168311183.0,189783075.0,6389,0.7275003912975426,232096346.64092085
2018,4836,148413368.0,148259368.0,187866348.0,5792,0.8349447513812155,177752321.64102563
2019,5906,209362999.0,202971999.0,292799375.0,7131,0.8282148366288038,252788273.93650526
2020,14658,367334312.0,346852312.0,513136038.0,17091,0.857644374232052,428306094.03683996
2021,16623,774390040.0,733118040.0,1156787889.0,19366,0.8583600123928534,902173946.6185406
2022,19447,1032178499.0,1025325499.0,1505998470.0,22476,0.8652340274070119,1192947186.8938138
2023,22319,1369109246.0,1351315246.0,2062157239.0,25537,0.8739867643027763,1566510274.4344282
2024,33913,1919853979.0,1900400979.0,2506541210.0,37546,0.9032386938688542,2125522292.2045822
2025,36195,2266669434.0,2090591234.0,2752274420.0,43129,0.8392265065269309,2700903053.432408
2026,18770,1221356478.0,962223178.0,1456517110.0,20830,0.9011041766682669,1355399863.4384656
