brand,model,year,is_combo,resolved_via,units
-,(ไม่ระบุ),2017,False,ว่าง,3
-,(ไม่ระบุ),2018,False,ว่าง,9
-,(ไม่ระบุ),2019,False,ว่าง,8
-,(ไม่ระบุ),2020,False,ว่าง,2
1581F6Z9C24CK0039HSK,MINI 4 PRO,2026,False,ชื่อในช่องเอง,1
1581F8LQ4259K002Q14D,MAVIC 4 PRO,2026,False,ชื่อในช่องเอง,1
1581F9DEC259L0293KPP,MINI PRO 5,2026,False,ชื่อในช่องเอง,1
3D RACER,STORMBREAKER,2024,False,ชื่อในช่องเอง,1
3DR,(ไม่ระบุ),2018,False,ว่าง,1
3DR,SOLO,2017,False,ชื่อในช่องเอง,1
4TRC,MARK300,2024,False,ชื่อในช่องเอง,1
A4 ROBOTICS,NAM-OIL,2024,False,ชื่อในช่องเอง,12
A4 ROBOTICS,NAM-OIL2,2025,False,ชื่อในช่องเอง,12
A4 ROBOTICS,NAM-OIL2,2026,False,ชื่อในช่องเอง,10
AA,AAA,2024,False,ชื่อในช่องเอง,1
ACE CORE,NEO,2017,False,ชื่อในช่องเอง,1
ACE CORE,ZOE,2017,False,ชื่อในช่องเอง,1
ACECORE,NEO,2020,False,ชื่อในช่องเอง,1
ACECORE,ZOE,2019,False,ชื่อในช่องเอง,1
ACECORE,ZOE,2020,False,ชื่อในช่องเอง,1
AE,AE 30,2026,False,ชื่อในช่องเอง,1
AERIAL TRONICS,ALTURA ZENITH ATX8,2019,False,ชื่อในช่องเอง,1
AERO DRONE,AR 11L,2025,False,ชื่อในช่องเอง,37
AERO DRONE,AR-11L,2025,False,ชื่อในช่องเอง,11
AERO DRONE,JYI-10L,2023,False,ชื่อในช่องเอง,1
AEROO,PRO,2026,False,ชื่อในช่องเอง,1
AERYON,SKYRANGER,2019,False,ชื่อในช่องเอง,1
AERYON,SKYRANGER,2020,False,ชื่อในช่องเอง,1
AG,AG T10,2022,False,ชื่อในช่องเอง,9
AG,AG T10,2023,False,ชื่อในช่องเอง,7
AG,AG T10,2025,False,ชื่อในช่องเอง,3
AG,AG T10,2026,False,ชื่อในช่องเอง,1
AG,AGRAS T10,2021,False,ชื่อในช่องเอง,36
AG,AGRAS T10,2022,False,ชื่อในช่องเอง,40
AG,AGRAS T10,2023,False,ชื่อในช่องเอง,4
AG,AGRAS T10,2024,False,ชื่อในช่องเอง,2
AG,AGRAS T10,2025,False,ชื่อในช่องเอง,8
AG,AGRAS T10,2026,False,ชื่อในช่องเอง,2
AG,AGRAS T20,2025,False,ชื่อในช่องเอง,1
AG,AGRAS T20P,2022,False,ชื่อในช่องเอง,119
AG,AGRAS T20P,2023,False,ชื่อในช่องเอง,203
AG,AGRAS T20P,2024,False,ชื่อในช่องเอง,63
AG,AGRAS T20P,2025,False,ชื่อในช่องเอง,74
AG,AGRAS T20P,2026,False,ชื่อในช่องเอง,16
AG,AGRAS T30,2021,False,ชื่อในช่องเอง,51
AG,AGRAS T30,2022,False,ชื่อในช่องเอง,122
AG,AGRAS T30,2023,False,ชื่อในช่องเอง,27
AG,AGRAS T30,2024,False,ชื่อในช่องเอง,3
AG,AGRAS T30,2025,False,ชื่อในช่องเอง,12
AG,AGRAS T30,2026,False,ชื่อในช่องเอง,2
AG,AGRAS T40,2022,False,ชื่อในช่องเอง,8
AG,AGRAS T40,2023,False,ชื่อในช่องเอง,144
AG,AGRAS T40,2024,False,ชื่อในช่องเอง,88
AG,AGRAS T40,2025,False,ชื่อในช่องเอง,59
AG,AGRAS T40,2026,False,ชื่อในช่องเอง,10
AG,T16,2021,False,ชื่อในช่องเอง,289
AG,T16,2022,False,ชื่อในช่องเอง,27
AG,T16,2023,False,ชื่อในช่องเอง,14
AG,T16,2024,False,ชื่อในช่องเอง,8
AG,T16,2025,False,ชื่อในช่องเอง,25
