brand,model_final,class,group,units,reason,resolved_via,sample_raw
EHANG,GMS-300-TH,ทั่วไป,ทั่วไป,2412,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,GMS-300-TH
CROSS STARS,CROSS STARS 3,ทั่วไป,ทั่วไป,1200,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CROSS STARS 3
DJI,AVATA,ทั่วไป,ทั่วไป,1175,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AVATA ;; DJI AVATA PRO-VIEW COMBO (DJI GOGGLES 2) ;; DJI AVATA PRO-VIEW COMBO (DJI RC MOTION 2)
DAMODA,DMD-M400W-V3,ทั่วไป,ทั่วไป,1032,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DMD-M400W-V3
DAMODA,DMD-M400W-V4,ทั่วไป,ทั่วไป,950,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DMD-M400W-V4
STD,STD4117S,เกษตร,เกษตร-ไม่ใช่ DJI,937,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,STD4117S
FIMI,MINI 3,ทั่วไป,ทั่วไป,769,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3 ;; MINI3
DJI,PHANTOM 3 PRO,ทั่วไป,ทั่วไป,699,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM 3 PROFESSIONAL
DJI,MAVIC PRO PLATINUM,ทั่วไป,ทั่วไป,640,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,M1X
NAC DRONE,EASY,เกษตร,เกษตร-ไม่ใช่ DJI,555,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EASY
EMO,HG-B03,ทั่วไป,ทั่วไป,550,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,HG-B03
NAC DRONE,NT10,เกษตร,เกษตร-ไม่ใช่ DJI,516,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,NT10
DJI,PHANTOM 3 ADV,ทั่วไป,ทั่วไป,462,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM 3 ADVANCED
NAC DRONE,EASY2,เกษตร,เกษตร-ไม่ใช่ DJI,400,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EASY2
