BrandN,registrations
DJI,181058
EHANG,2417
NAC DRONE,1989
DAMODA,1982
AG,1478
HUBSAN,1271
STD,1269
CROSS STARS,1200
FIMI,1101
AUTEL ROBOTICS,789
HOVERAIR,665
BUG AWAY,558
EMO,550
XAG,523
HG ROBOTICS,405
MG,404
POLADRONE,399
KASET GEN-Y,387
ประกอบเอง,310
DRONE THAI,289
NAC  DRONE,288
GEOSCAN,280
FN-CONCEPT,231
เจ้าเอี้ยง,215
POTENSIC,209
HOVER AIR,196
DGI AGRAS,191
MAKER DRONE,154
MJX,152
SJRC,149
GEPRC,146
เกษตรเจนวาย,145
PARROT,143
SB1,138
TIGERDRONE,135
SEGUMO,127
SATI,112
GOPRO,106
BUBBLE DRONE,105
BLUE STAR,100
XIAOMI,94
ZHONGKE,93
AGRITECH DRONE,89
TELLO,85
AGRI-MASTER,84
XIRO,83
IFLIGHT,83
YUNEEC,73
NACDRONE,71
NOVY,60
