ProvinceName,registrations
กรุงเทพมหานคร,52939
จ.ภูเก็ต,15518
จ.ปทุมธานี,11736
จ.ชลบุรี,8681
จ.เชียงใหม่,7879
จ.นนทบุรี,7596
จ.สมุทรปราการ,5196
จ.สุราษฎร์ธานี,4708
จ.นครราชสีมา,4228
จ.กระบี่,3372
จ.ขอนแก่น,3127
จ.นครสวรรค์,3094
จ.เชียงราย,2842
จ.พิษณุโลก,2731
จ.ระยอง,2693
จ.นครปฐม,2486
จ.พระนครศรีอยุธยา,2353
จ.จันทบุรี,2351
จ.สงขลา,2346
จ.สุพรรณบุรี,2332
จ.กำแพงเพชร,2220
จ.เพชรบูรณ์,1915
จ.ลพบุรี,1914
จ.ฉะเชิงเทรา,1879
จ.อุดรธานี,1831
จ.อุบลราชธานี,1751
จ.พิจิตร,1749
จ.สุโขทัย,1730
จ.นครศรีธรรมราช,1690
จ.สระบุรี,1677
จ.กาญจนบุรี,1630
จ.ราชบุรี,1620
จ.พังงา,1558
จ.สมุทรสาคร,1554
จ.ประจวบคีรีขันธ์,1522
จ.ลำปาง,1356
จ.มหาสารคาม,1307
จ.อุตรดิตถ์,1291
จ.บุรีรัมย์,1217
จ.ศรีสะเกษ,1153
จ.ร้อยเอ็ด,1136
จ.ชัยนาท,1088
จ.ชัยภูมิ,1047
จ.เพชรบุรี,1029
จ.ปราจีนบุรี,986
จ.สุรินทร์,967
จ.ตราด,907
จ.ตาก,883
จ.สกลนคร,875
จ.พะเยา,832
จ.ชุมพร,809
จ.เลย,797
จ.ลำพูน,782
จ.กาฬสินธุ์,780
จ.อุทัยธานี,771
จ.แพร่,743
จ.น่าน,712
จ.สระแก้ว,681
จ.ตรัง,680
จ.อ่างทอง,647
จ.นครนายก,626
จ.สิงห์บุรี,622
จ.หนองคาย,604
จ.พัทลุง,559
จ.นครพนม,547
จ.ยะลา,455
จ.นราธิวาส,391
จ.ยโสธร,384
จ.สตูล,374
จ.สมุทรสงคราม,367
จ.หนองบัวลำภู,360
จ.ปัตตานี,358
จ.แม่ฮ่องสอน,342
จ.มุกดาหาร,336
จ.บึงกาฬ,331
จ.อำนาจเจริญ,257
จ.ระนอง,234
