PurposeOfUseAircraft,registrations
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์",67229
เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,62875
เพื่อการเกษตรกรรม,26717
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,",12133
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,",7748
,6087
เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,3225
เพื่อการเกษตร,1375
เพื่อใช้ในกิจกรรมของบริษัท,1332
เพื่อใช้ในกิจกรรมของหน่วยงาน,818
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์",708
เพื่อการเกษตรในพื้นที่เฉพาะซึ่งตนเองมีสิทธิ์ในการใช้ประโยชน์,612
"เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,",528
ใช้ในภาคเกษตรเท่านั้น,417
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อถ่ายภาพ ถ่ายวีดีโอ ลงสื่อโซเชียล",389
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการเกษตรกรรม",296
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์,เพื่อการเกษตรกรรม,เพื่อการวิจัย ทดลอง ทดสอบ ตามประกาศ กสทช.",271
"เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการวิจัย ทดลอง ทดสอบ ตามประกาศ กสทช.,เพื่อเพิ่มประสิทธิภาพการคุ้มครองพื้นที่อุทยานแห่งชาติด้วยอากาศยานไร้คนขับ",263
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์",253
เพื่อใช้ในกิจกรรมของบริษัทฯ,247
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน)",210
เพื่อใช้ในภารกิจของหน่วยงาน,208
เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์,207
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการเกษตรกรรม",169
เพื่อใช้ในงานในหน้าที่ราชการ,149
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์",141
ใช้ในภารกิจถ่ายภาพในหน่วยงานความมั่นคง,128
เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),117
"เพื่อการเกษตรกรรม,ฉีดพ่นสารเหลวทางการเกษตรทุกชนิด",116
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อถ่ายภาพ ถ่ายวิดีโอ ลงสื่อโซเชียล",113
"เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์",104
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์",104
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์,เพื่อการวิจัย ทดลอง ทดสอบ ตามประกาศ กสทช.",101
เพื่อใช้สำรวจพื้นที่,88
"เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์,",79
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์,",74
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,",74
"เพื่อการเกษตรกรรม,ฉีดพ่นสารเหลวทุกชนิด",74
เพื่อการเกษตรที่ใช้ในพื้นที่เฉพาะที่ตนเองมีสิทธิ์ในการใช้ประโยชน์เท่านั้น,73
การเกษตร,69
เพื่อการเกษตร ในพื้นที่เฉพาะซึ่งตนเองมีสิทธิ์ในการใช้ประโยชน์เท่านั้น,65
เพื่อการวิจัย ทดลอง ทดสอบ ตามประกาศ กสทช.,65
เพื่อใช้ในการปฎิบัติงานในภารกิจเคลื่อนที่เร็วผลักดันช้างป่าและสัตว์ป่าที่สร้างผลกระทบต่อราษฎร,65
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อถ่ายภาพ ถ่ายวีดีโอ ลงสื่อโซเซียล",63
เพื่อการสาธิตผลิตภัณฑ์,62
"เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์",59
ใช้ในภาคการเกษตรเท่านั้น,59
เพื่อใช้ในการเกษตร,55
"เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,",50
เพื่อใช้ฉีดพ่นของเหลวทางการเกษตรทุกชนิด,50
เพื่อติดตามตรวจสอบการเปลี่ยนแปลงพื้นที่ป่า,49
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการเกษตรกรรม",48
"เพื่อการวิจัยและพัฒนาอากาศยาน เพื่อการพาณิชย์,เพื่อการเกษตรกรรม",47
"เพื่อการเกษตรกรรม,เพื่อใช้ฉีดพ่นของเหลวทางการเกษตรทุกชนิด",47
"เพื่อการรายงานเหตุการณ์หรือรายงานจราจร (สื่อมวลชน),",46
ใช้เพื่อในงานราชการ,46
ฉีดพ่นสารเหลวทุกชนิด,46
เพื่อใช้ประกอบการแสดงแปรอักษร - สื่อผสม - มัลติมีเดีย,45
เพื่อใช้ถ่ายภาพ สื่อวิดีโอในการประชาสัมพันธ์ เกี่ยวกับกิจการงานของตน,45
เพื่อการศึกษา,43
เพื่อการถ่ายภาพในภารกิจของกรมโยธาธิการและผังเมือง,42
เพื่อใช้ในกิจการบริษัท,41
เพื่อใช้ในการเกษตรในพื้นที่ ที่มีสิทธิ์,40
เพื่อการเกษตรในพื้นที่เฉพาะที่ตนเองมีสิทธิ์ในการใช้ประโยชน์เท่านั้น,40
เพื่อใช้ในภารกิจของกรมป่าไม้,40
"เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการบินสำรวจทำแผนที่ภาพถ่ายทางอากาศ",39
เพื่อการฝึกอบรม,39
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการถ่ายภาพ ถ่ายทำหรือการแสดงในภาพยนตร์หรือรายการโทรทัศน์,เพื่อการวิจัย ทดลอง ทดสอบ ตามประกาศ กสทช.",36
"เพื่อการเล่นเป็นงานอดิเรก ความบันเทิง หรือ เพื่อการกีฬา,เพื่อการวิจัย ทดลอง ทดสอบ ตามประกาศ กสทช.",35
