brand,model,price_thb,price_lo_thb,price_hi_thb,basis_kind,spread_reason,source,source_url,asof,confidence,discontinued,note
DJI,MINI 5 PRO,25690,25690,25690,ป้ายร้าน-ตัวเปล่า,-,DJI Store Thailand,https://djistore-thailand.com/,2026-08-04,สูง,,
DJI,MINI 4 PRO,21850,21850,31790,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo Plus,DJI Store Thailand / World Camera,https://djistore-thailand.com/,2026-08-04,สูง,,
DJI,MINI 3 PRO,25690,25690,30990,ป้ายร้าน-ตัวเปล่า,ขอบบน = ชุดรีโมตมีจอในตัว DJI RC 30990,KRCSHOP by KINETIC,https://www.krcshop.net/main/product-detail.asp?productid=62,2026-08-17,กลาง,yes,ชุด RC-N1 (รีโมตธรรมดา) แบต 1 ก้อน · 🚨 แก้เมื่อ 17 ส.ค. 2569 — ของเดิม 30990 จาก DJI Bangkok ติดป้ายว่าตัวเปล่าแต่เป็นชุดรีโมตมีจอ DJI RC = ปนฐานมาตั้งแต่แรก รูปแบบเดียวกับ MAVIC 3 PRO · ⚠️ ติดป้ายกลางเพราะ KRCSHOP ตอบ 403 เปิดอ่านตรงไม่ได้ ยืนยันจากผลค้นหาสองรอบที่ตรงกัน และส่วนต่างชุดรีโมต 5300 สอดคล้องกับ MINI 4 PRO ที่ 5100 · 🏷️ เลิกผลิตแล้ว: DJI ออก Mini 4 Pro (2566) และ Mini 5 Pro (2568) แทนแล้ว 2 เจเนอเรชัน
DJI,MINI 3,14900,14900,28900,ป้ายร้าน-ตัวเปล่า,รีโมตคนละรุ่น + ชุดคอมโบ,KRCSHOP,http://www.krcshop.net/main/product-detail.asp?productid=74,2026-08-04,กลาง,,ราคาต่ำสุดคือชุดรีโมต RC-N1
DJI,MINI 2,14500,14500,20990,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo,DJI Bangkok,https://www.djibangkok.com/shop/dji-mini-2/,2026-08-04,กลาง,,
DJI,MINI 2 SE,12300,12300,16400,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo,KRCSHOP / World Camera,http://www.krcshop.net/main/product-detail.asp?productid=76,2026-08-04,กลาง,,
DJI,MINI SE,9990,9990,13990,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo,ZoomCamera (บทความเทียบรุ่น),https://www.zoomcamera.net/,2026-08-04,กลาง,,
DJI,MINI 4K,9990,9990,14090,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo,World Camera,https://worldcamera.co.th/,2026-08-04,สูง,,
DJI,MAVIC MINI,12000,12000,15000,ป้ายร้าน-ตัวเปล่า,ชุด Fly More Combo,lnwgadget / DJI Bangkok,https://www.djibangkok.com/shop/dji-mavic-mini/,2026-08-04,กลาง,,e-GP มีแถวเดียว 48150/ลำ เป็นชุดครุภัณฑ์ ไม่ใช้
DJI,NEO,5490,5490,5490,ป้ายร้าน-ตัวเปล่า,-,DJI Store Thailand,https://djistore-thailand.com/,2026-08-04,สูง,,
